year,country,"Stocks traded, total value (% of GDP)","Inflation, consumer prices (annual %)","Stocks traded, turnover ratio of domestic shares (%)",Tax revenue (% of GDP),GDP per capita (current US$),"Central government debt, total (% of GDP)",Gini index (World Bank estimate),Broad money (% of GDP),"Total reserves (includes gold, current US$)","International migrant stock, total",Income share held by highest 10%,Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Exports of goods and services (% of GDP),timestamp
1990,MHL,,,,,1660.34063260341,,,,,1158.0,,,,39.0,,,1635717541191
1992,GHA,,10.0561167448841,,10.7686571823574,409.746389786379,,,20.5258743254694,4.11555106167586E8,,,,57.462,75.6,4.7,17.2259554921286,1635708822901
2014,AUT,6.49762700120659,1.60581182954471,29.6716211216554,26.4178983110922,51717.4959405515,,30.5,,2.50014932352233E10,,24.1,13.9,81.490243902439,3.1,5.62,53.3865790462424,1635699739306
1993,GHA,0.0687198161204514,24.9598424742497,3.35790335790336,13.1492471785336,370.419454924392,,,19.8354562123912,5.16970166319489E8,,,,57.605,74.3,5.28,20.2539190620077,1635708827914
2015,AUT,8.31102412109691,0.896563335260302,33.0278463495497,26.8261674155428,44178.0473777432,,30.5,,2.2239731667636E10,1492374.0,23.8,14.1,81.190243902439,3.0,5.72,53.0890605587958,1635699744319
1994,GHA,1.26731988472622,24.8702554369576,3.63272612403917,,328.744526865007,,,22.5131258405379,6.8926765697559E8,,,,57.62,73.3,5.84,25.2586359269933,1635708832969
2016,AUT,6.71248520126198,0.891591752655335,32.8323154981445,25.4191692326751,45276.8314351693,,30.8,,2.32554933805846E10,,23.9,14.4,81.6414634146342,3.0,6.01,52.4063936498056,1635699749327
1995,GHA,0.29156378600823,59.4615536991445,1.12989270514895,,379.987984916879,,,21.6429944399293,8.03820975119216E8,252879.0,,,57.528,72.4,6.39,24.4964459408904,1635708837982
2017,AUT,9.60744708269512,2.08126911385587,26.2679759573687,25.4236447885622,47309.3662735282,,29.7,,2.15653316492621E10,,23.0,14.3,81.6439024390244,2.9,5.5,54.0537009052279,1635699754385
1996,GHA,0.232877225784261,46.5610196762282,0.973718640532018,,397.135754957028,,,20.5961071375025,9.30268682128519E8,,,,57.366,71.3,6.97,32.1121821725595,1635708842995
